# OFFGOTCHI leaderboard  generated=2007-07-16T14:30:00Z  devices=50
id,name,type,level,won,lost
A1F3,Zorg,4,58,287,41
B22C,Rex,2,52,198,55
C4D8,Jinx,2,47,176,62
D019,Volt,2,41,140,48
E5A6,Ash,2,38,120,70
F13B,Cog,2,33,98,54
0A7E,Jolt,2,29,80,44
1C90,Riff,2,26,66,50
2B44,Sol,2,22,54,38
3E61,Pib,2,19,40,33
4F02,Umi,2,15,28,25
5D8A,Blip,2,11,16,20
6019,Kip,2,8,7,12
71C5,Vex,3,44,210,18
82E0,Luna,3,50,190,40
9337,Neko,3,46,165,35
A4B1,Fern,3,39,132,29
B5F9,Glim,3,35,110,41
C6A3,Mint,3,31,92,37
D772,Lark,3,27,72,45
E839,Iris,3,24,58,39
F94D,Nib,3,20,44,31
0B2C,Tibb,3,16,30,26
1E77,Wren,3,12,18,19
2C15,Dot,3,9,9,14
3A6E,Ozzy,3,6,4,9
4D21,Nova,4,61,240,30
5E88,Pixel,3,54,205,44
6F3C,Gizmo,3,49,180,38
70A9,Echo,3,43,150,33
81BB,Quark,3,37,118,47
92C4,Rune,4,32,95,42
A3D5,Tux,4,28,74,40
B4E6,Wisp,4,23,56,36
C5F7,Zap,4,18,38,30
D608,Onyx,4,14,24,22
E719,Puff,4,10,12,16
F82A,Spud,4,7,6,10
0A3B,Bob,1,4,0,0
1B4C,Max,1,3,0,0
2C5D,Milo,1,5,0,0
3D6E,Nyx,1,2,0,0
4E7F,Byte,1,6,0,0
5F80,Bit,1,1,0,0
6091,Fizz,1,3,0,0
71A2,Kilo,1,4,0,0
82B3,Yeti,1,7,0,0
93C4,Ember,1,2,0,0
A4D5,Hopp,1,5,0,0
B5E6,Zed,1,3,0,0
